row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
120,UHA-0160,11,1.49E-04,5.55E-05,UHA-0012,11,11,2,3.36E+00,UHA-0257,11,11,1,-1.11E+00,0.00E+00,,11,3,2.93E+00,2.93E+00,*
121,UHA-0161,11,5.27E-04,2.29E-07,UHA-0012,11,11,0,9.80E+00,UHA-0260,11,11,2,5.77E-01,0.00E+00,,11,2,4.43E+00,4.43E+00,*
122,UHA-0426,11,9.00E-04,9.61E-07,UHA-0009,11,11,1,2.92E+00,UHA-0010,10,10,1,1.13E+00,0.00E+00,,10,3,-1.84E+00,0.00E+00,
123,UHA-0427,11,1.19E-04,5.50E-08,UHA-0015,11,11,0,1.09E+01,UHA-0260,11,11,3,-9.08E-01,0.00E+00,,11,3,-9.86E-01,0.00E+00,
124,UHA-0428,11,2.29E-04,4.84E-07,UHA-0015,11,11,1,2.55E+00,UHA-0266,10,10,0,6.53E+00,2.41E+00,*,10,2,6.77E+00,6.77E+00,*
125,UHA-0429,11,1.50E-03,4.86E-07,UHA-0012,11,11,0,1.09E+01,UHA-0258,10,10,0,8.81E+00,8.76E+00,*,10,0,1.41E+01,1.41E+01,*
126,UHA-0430,11,2.11E-04,1.05E-07,UHA-0012,11,11,0,8.94E+00,UHA-0260,11,11,3,-4.07E+00,0.00E+00,,11,3,-1.64E+00,0.00E+00,
127,UHA-0431,11,7.17E-05,6.03E-08,UHA-0012,11,11,1,8.94E+00,UHA-0260,11,11,2,-1.77E+00,0.00E+00,,11,3,1.95E+00,1.95E+00,*
128,UHA-0432,10,3.39E-03,9.75E-07,UHA-0012,11,10,0,4.27E+00,UHA-0258,10,10,2,4.74E-01,0.00E+00,,10,3,-6.22E-01,0.00E+00,
129,UHA-0433,11,2.06E-03,9.43E-07,UHA-0012,11,11,0,6.34E+00,UHA-0258,10,10,1,1.71E+00,1.71E+00,*,10,2,2.30E+00,2.30E+00,*
130,UHA-0434,11,2.41E-04,3.90E-10,UHA-0012,11,11,0,8.35E+00,UHA-0016,9,9,0,5.87E+00,0.00E+00,,9,4,-6.82E+00,0.00E+00,
131,UHA-0435,11,2.96E-05,6.70E-07,UHA-0010,10,10,2,-2.98E+00,UHA-0272,11,11,1,-2.30E-01,0.00E+00,,11,5,-7.37E+00,0.00E+00,
132,UHA-0436,11,2.45E-04,1.64E-06,UHA-0010,10,10,0,1.13E+01,UHA-0265,11,11,1,4.08E+00,2.06E+00,*,11,2,3.06E-01,3.06E-01,*
133,UHA-0437,11,6.20E-04,1.83E-07,UHA-0010,10,10,1,1.89E+00,UHA-0259,10,10,1,1.30E+00,0.00E+00,,10,3,1.39E+00,1.39E+00,*
134,UHA-0438,11,8.52E-04,7.48E-07,UHA-0010,10,10,1,2.09E+00,UHA-0259,10,10,1,4.18E-01,4.18E-01,+,10,3,9.12E-01,9.12E-01,*
135,UHA-0439,11,2.30E-04,3.44E-07,UHA-0010,10,10,2,-1.80E+00,UHA-0260,11,11,1,6.84E+00,6.84E+00,*,11,4,4.62E+00,4.62E+00,*
136,UHA-0440,11,6.36E-04,1.69E-05,UHA-0260,11,11,1,6.73E+00,UHA-0217,11,11,2,-5.39E+00,0.00E+00,,11,3,-1.67E+00,0.00E+00,
137,UHA-0441,11,4.53E-04,4.73E-07,UHA-0260,11,11,1,4.44E+00,UHA-0261,11,11,0,1.12E+01,1.01E+01,*,11,2,1.00E+01,1.00E+01,*
138,UHA-0442,11,9.39E-05,5.83E-08,UHA-0260,11,11,0,1.13E+01,UHA-0261,11,11,2,-6.24E-01,0.00E+00,,11,4,-8.21E+00,0.00E+00,
139,UHA-0443,11,9.94E-04,3.55E-05,UHA-0260,11,11,2,1.81E+00,UHA-0257,11,11,0,5.60E+00,4.30E+00,*,11,3,5.61E+00,5.61E+00,*
